Fold,Label,accuracy,balanced_accuracy,precision,recall,f1_score,confusion_matrix,sensitivity,specificity,train_BA,BA_gap
0,OR_outside,0.9124,0.8486,0.3658,0.7769,0.4974,"[[1884  163]
 [  27   94]]",0.7769,0.9204,0.8486,0
1,OR_outside,0.8862,0.7943,0.4583,0.679,0.5473,"[[1962  195]
 [  78  165]]",0.679,0.9096,0.7943,0
2,OR_outside,0.8236,0.7583,0.2825,0.6793,0.399,"[[2103  409]
 [  76  161]]",0.6793,0.8372,0.7583,0
3,OR_outside,0.9311,0.785,0.3222,0.6259,0.4254,"[[3087  183]
 [  52   87]]",0.6259,0.944,0.785,0
4,OR_outside,0.9181,0.8629,0.5344,0.7953,0.6392,"[[1177   88]
 [  26  101]]",0.7953,0.9304,0.8629,0
,,0.89428,0.80982,0.39264,0.71128,0.50166,,0.71128,0.90832,0.80982,0
